"cluster_a","cluster_b","cluster_a_name","cluster_b_name","test_stat","p_selective","p_naive","time_sec","selective_sig_05","naive_sig_05"
1,5,"business_1","business_5",17.4035833491259,8.50832182443137e-128,0,12.6158530712128,TRUE,TRUE
5,6,"business_5","business_6",18.6055151082951,5.19542751796824e-33,0,10.4454810619354,TRUE,TRUE
4,5,"business_4","business_5",17.6319509817889,5.5645882157004e-30,0,12.3631391525269,TRUE,TRUE
3,5,"business_3","business_5",19.8535751199505,5.18546786532077e-11,0,12.5724110603333,TRUE,TRUE
2,6,"business_2","business_6",9.55923606554315,2.5041000152139e-07,0,12.1413509845734,TRUE,TRUE
1,6,"business_1","business_6",8.66727230884095,2.58479050953339e-05,0,17.0833191871643,TRUE,TRUE
2,3,"business_2","business_3",11.3758618951804,0.000257365515414874,0,13.1864049434662,TRUE,TRUE
1,2,"business_1","business_2",6.69701838328654,0.000804308809578805,0,15.7232720851898,TRUE,TRUE
2,4,"business_2","business_4",6.90709845595871,0.00168984913602713,0,13.1955289840698,TRUE,TRUE
3,6,"business_3","business_6",10.7117455839872,0.001995566261272,0,13.4028248786926,TRUE,TRUE
4,6,"business_4","business_6",5.47501350404682,0.0066267511581503,0,15.1971099376678,TRUE,TRUE
3,4,"business_3","business_4",9.52977004627723,0.00763486928991992,0,13.143767118454,TRUE,TRUE
1,4,"business_1","business_4",3.2480262593337,0.166350675511279,0,15.082818031311,FALSE,TRUE
1,3,"business_1","business_3",9.7464929863164,0.499998961451858,0,14.5917189121246,FALSE,TRUE
2,5,"business_2","business_5",18.5388840528733,0.499999909814366,0,11.404002904892,FALSE,TRUE
